%% File generated by CATS v.2.1Wed Jun 22 10:37:33 2022

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 64; Bids: 1000; Distribution: matching; Runs: 1; Seed: 1656572618
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 64
bids 1002
dummy 123

0	10.9583	41	55	64	#
1	7.39688	41	59	64	#
2	6.65719	41	63	64	#
3	8.21875	45	59	64	#
4	7.39688	45	63	64	#
5	8.21875	49	63	64	#
6	8.40219	39	49	65	#
7	5.67148	39	53	65	#
8	5.10433	39	57	65	#
9	4.5939	39	61	65	#
10	6.30165	43	53	65	#
11	5.67148	43	57	65	#
12	5.10433	43	61	65	#
13	6.30165	47	57	65	#
14	5.67148	47	61	65	#
15	6.30165	51	61	65	#
16	10.9121	8	41	66	#
17	7.36567	8	45	66	#
18	6.62911	8	49	66	#
19	5.9662	8	53	66	#
20	8.18408	12	45	66	#
21	7.36567	12	49	66	#
22	6.62911	12	53	66	#
23	8.18408	16	49	66	#
24	7.36567	16	53	66	#
25	8.18408	20	53	66	#
26	9.11119	0	42	67	#
27	6.15006	0	46	67	#
28	5.53505	0	50	67	#
29	4.98155	0	54	67	#
30	6.8334	4	46	67	#
31	6.15006	4	50	67	#
32	5.53505	4	54	67	#
33	6.8334	8	50	67	#
34	6.15006	8	54	67	#
35	6.8334	12	54	67	#
36	8.29681	43	53	68	#
37	5.60035	43	57	68	#
38	5.04031	43	61	68	#
39	6.22261	47	57	68	#
40	5.60035	47	61	68	#
41	6.22261	51	61	68	#
42	5.9542	4	47	69	#
43	4.01909	4	51	69	#
44	3.61718	4	55	69	#
45	3.25546	4	59	69	#
46	4.46565	8	51	69	#
47	4.01909	8	55	69	#
48	3.61718	8	59	69	#
49	4.46565	12	55	69	#
50	4.01909	12	59	69	#
51	4.46565	16	59	69	#
52	5.22007	43	53	70	#
53	3.52355	43	57	70	#
54	3.17119	43	61	70	#
55	3.91505	47	57	70	#
56	3.52355	47	61	70	#
57	3.91505	51	61	70	#
58	5.64904	1	32	71	#
59	3.8131	1	36	71	#
60	3.43179	1	40	71	#
61	3.08861	1	44	71	#
62	4.23678	5	36	71	#
63	3.8131	5	40	71	#
64	3.43179	5	44	71	#
65	4.23678	9	40	71	#
66	3.8131	9	44	71	#
67	4.23678	13	44	71	#
68	8.99875	2	40	72	#
69	8.09887	2	44	72	#
70	7.28898	2	48	72	#
71	8.99875	6	44	72	#
72	8.09887	6	48	72	#
73	8.99875	10	48	72	#
74	11.6508	6	17	73	#
75	7.86431	6	21	73	#
76	7.07788	6	25	73	#
77	6.37009	6	29	73	#
78	8.73812	10	21	73	#
79	7.86431	10	25	73	#
80	7.07788	10	29	73	#
81	8.73812	14	25	73	#
82	7.86431	14	29	73	#
83	8.73812	18	29	73	#
84	10.6821	47	57	74	#
85	7.21039	47	61	74	#
86	8.01155	51	61	74	#
87	9.07218	12	45	75	#
88	6.12372	12	49	75	#
89	5.51135	12	53	75	#
90	4.96021	12	57	75	#
91	6.80413	16	49	75	#
92	6.12372	16	53	75	#
93	5.51135	16	57	75	#
94	6.80413	20	53	75	#
95	6.12372	20	57	75	#
96	6.80413	24	57	75	#
97	3.50931	15	52	76	#
98	2.36878	15	56	76	#
99	2.1319	15	60	76	#
100	2.63198	19	56	76	#
101	2.36878	19	60	76	#
102	2.63198	23	60	76	#
103	7.08763	7	44	77	#
104	4.78415	7	48	77	#
105	4.30573	7	52	77	#
106	3.87516	7	56	77	#
107	5.31572	11	48	77	#
108	4.78415	11	52	77	#
109	4.30573	11	56	77	#
110	5.31572	15	52	77	#
111	4.78415	15	56	77	#
112	5.31572	19	56	77	#
113	4.32853	0	42	78	#
114	2.92175	0	46	78	#
115	2.62958	0	50	78	#
116	2.36662	0	54	78	#
117	3.24639	4	46	78	#
118	2.92175	4	50	78	#
119	2.62958	4	54	78	#
120	3.24639	8	50	78	#
121	2.92175	8	54	78	#
122	3.24639	12	54	78	#
123	15.0205	34	45	79	#
124	10.1389	34	49	79	#
125	9.12497	34	53	79	#
126	8.21247	34	57	79	#
127	11.2654	38	49	79	#
128	10.1389	38	53	79	#
129	9.12497	38	57	79	#
130	11.2654	42	53	79	#
131	10.1389	42	57	79	#
132	11.2654	46	57	79	#
133	15.1918	29	42	80	#
134	10.2545	29	46	80	#
135	9.22901	29	50	80	#
136	8.30611	29	54	80	#
137	11.3938	33	46	80	#
138	10.2545	33	50	80	#
139	9.22901	33	54	80	#
140	11.3938	37	50	80	#
141	10.2545	37	54	80	#
142	11.3938	41	54	80	#
143	12.408	26	37	81	#
144	8.37542	26	41	81	#
145	7.53788	26	45	81	#
146	6.78409	26	49	81	#
147	9.30602	30	41	81	#
148	8.37542	30	45	81	#
149	7.53788	30	49	81	#
150	9.30602	34	45	81	#
151	8.37542	34	49	81	#
152	9.30602	38	49	81	#
153	12.5053	4	46	82	#
154	8.44104	4	50	82	#
155	7.59694	4	54	82	#
156	6.83725	4	58	82	#
157	9.37894	8	50	82	#
158	8.44104	8	54	82	#
159	7.59694	8	58	82	#
160	9.37894	12	54	82	#
161	8.44104	12	58	82	#
162	9.37894	16	58	82	#
163	10.2326	45	58	83	#
164	6.90697	45	62	83	#
165	7.67442	49	62	83	#
166	7.71895	14	52	84	#
167	5.21029	14	56	84	#
168	4.68926	14	60	84	#
169	5.78921	18	56	84	#
170	5.21029	18	60	84	#
171	5.78921	22	60	84	#
172	2.96917	8	51	85	#
173	2.00419	8	55	85	#
174	1.80377	8	59	85	#
175	1.6234	8	63	85	#
176	2.22688	12	55	85	#
177	2.00419	12	59	85	#
178	1.80377	12	63	85	#
179	2.22688	16	59	85	#
180	2.00419	16	63	85	#
181	2.22688	20	63	85	#
182	8.25544	4	46	86	#
183	5.57242	4	50	86	#
184	5.01518	4	54	86	#
185	4.51366	4	58	86	#
186	6.19158	8	50	86	#
187	5.57242	8	54	86	#
188	5.01518	8	58	86	#
189	6.19158	12	54	86	#
190	5.57242	12	58	86	#
191	6.19158	16	58	86	#
192	8.35669	47	57	87	#
193	5.64077	47	61	87	#
194	6.26752	51	61	87	#
195	10.7214	23	33	88	#
196	7.23698	23	37	88	#
197	6.51328	23	41	88	#
198	5.86195	23	45	88	#
199	8.04109	27	37	88	#
200	7.23698	27	41	88	#
