%% File generated by CATS v.2.1Wed Jun 22 10:37:56 2022

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 64; Bids: 1000; Distribution: scheduling; Runs: 1; Seed: 1656573085
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 64
bids 1034
dummy 22

0	1.24337	0	64	#
1	1.24337	1	64	#
2	1.24337	2	64	#
3	1.24337	3	64	#
4	1.24337	4	64	#
5	1.24337	5	64	#
6	1.24337	6	64	#
7	1.24337	7	64	#
8	1.24337	8	64	#
9	1.24337	9	64	#
10	1.24337	10	64	#
11	1.24337	11	64	#
12	1.24337	12	64	#
13	1.24337	13	64	#
14	1.24337	14	64	#
15	1.24337	15	64	#
16	1.24337	16	64	#
17	1.24337	17	64	#
18	1.24337	18	64	#
19	1.24337	19	64	#
20	1.24337	20	64	#
21	1.24337	21	64	#
22	1.24337	22	64	#
23	1.24337	23	64	#
24	1.24337	24	64	#
25	1.24337	25	64	#
26	1.24337	26	64	#
27	1.24337	27	64	#
28	1.24337	28	64	#
29	1.24337	29	64	#
30	1.24337	30	64	#
31	1.24337	31	64	#
32	1.24337	32	64	#
33	1.24337	33	64	#
34	1.24337	34	64	#
35	1.24337	35	64	#
36	1.24337	36	64	#
37	1.24337	37	64	#
38	1.24337	38	64	#
39	1.24337	39	64	#
40	1.24337	40	64	#
41	1.24337	41	64	#
42	1.24337	42	64	#
43	1.24337	43	64	#
44	1.24337	44	64	#
45	1.24337	45	64	#
46	1.24337	46	64	#
47	1.24337	47	64	#
48	1.24337	48	64	#
49	1.24337	49	64	#
50	1.24337	50	64	#
51	1.24337	51	64	#
52	1.15294	52	64	#
53	1.15294	53	64	#
54	1.15294	54	64	#
55	1.15294	55	64	#
56	1.03953	56	64	#
57	1.03953	57	64	#
58	1.03953	58	64	#
59	1.03953	59	64	#
60	1.03953	60	64	#
61	1.03953	61	64	#
62	1.00653	62	64	#
63	1.00653	63	64	#
64	2.47267	0	1	2	65	#
65	2.47267	1	2	3	65	#
66	2.47267	2	3	4	65	#
67	2.47267	3	4	5	65	#
68	2.47267	4	5	6	65	#
69	2.47267	5	6	7	65	#
70	2.47267	6	7	8	65	#
71	2.47267	7	8	9	65	#
72	2.47267	8	9	10	65	#
73	2.47267	9	10	11	65	#
74	2.47267	10	11	12	65	#
75	2.47267	11	12	13	65	#
76	2.47267	12	13	14	65	#
77	2.47267	13	14	15	65	#
78	2.47267	14	15	16	65	#
79	1.41296	15	16	17	65	#
80	1.41296	16	17	18	65	#
81	1.41296	17	18	19	65	#
82	1.41296	18	19	20	65	#
83	1.41296	19	20	21	65	#
84	1.41296	20	21	22	65	#
85	1.41296	21	22	23	65	#
86	1.41296	22	23	24	65	#
87	1.41296	23	24	25	65	#
88	1.41296	24	25	26	65	#
89	1.41296	25	26	27	65	#
90	1.41296	26	27	28	65	#
91	3.56707	0	1	2	66	#
92	3.56707	1	2	3	66	#
93	3.56707	2	3	4	66	#
94	3.56707	3	4	5	66	#
95	3.56707	4	5	6	66	#
96	3.56707	5	6	7	66	#
97	3.56707	6	7	8	66	#
98	3.56707	7	8	9	66	#
99	3.56707	8	9	10	66	#
100	3.56707	9	10	11	66	#
101	3.56707	10	11	12	66	#
102	3.56707	11	12	13	66	#
103	3.56707	12	13	14	66	#
104	3.56707	13	14	15	66	#
105	3.56707	14	15	16	66	#
106	3.56707	15	16	17	66	#
107	3.56707	16	17	18	66	#
108	3.56707	17	18	19	66	#
109	3.56707	18	19	20	66	#
110	3.56707	19	20	21	66	#
111	3.56707	20	21	22	66	#
112	3.56707	21	22	23	66	#
113	3.56707	22	23	24	66	#
114	3.56707	23	24	25	66	#
115	3.56707	24	25	26	66	#
116	3.56707	25	26	27	66	#
117	3.56707	26	27	28	66	#
118	3.56707	27	28	29	66	#
119	3.56707	28	29	30	66	#
120	3.56707	29	30	31	66	#
121	3.56707	30	31	32	66	#
122	3.56707	31	32	33	66	#
123	3.56707	32	33	34	66	#
124	3.56707	33	34	35	66	#
125	3.56707	34	35	36	66	#
126	3.56707	35	36	37	66	#
127	3.56707	36	37	38	66	#
128	3.56707	37	38	39	66	#
129	3.56707	38	39	40	66	#
130	3.56707	39	40	41	66	#
131	3.56707	40	41	42	66	#
132	3.56707	41	42	43	66	#
133	3.56707	42	43	44	66	#
134	3.56707	43	44	45	66	#
135	3.56707	44	45	46	66	#
136	3.56707	45	46	47	66	#
137	3.56707	46	47	48	66	#
138	3.56707	47	48	49	66	#
139	3.56707	48	49	50	66	#
140	3.56707	49	50	51	66	#
141	3.56707	50	51	52	66	#
142	3.56707	51	52	53	66	#
143	3.56707	52	53	54	66	#
144	3.56707	53	54	55	66	#
145	3.56707	54	55	56	66	#
146	3.56707	55	56	57	66	#
147	3.56707	56	57	58	66	#
148	3.56707	57	58	59	66	#
149	8.97223	0	1	2	3	4	5	6	7	8	67	#
150	8.97223	1	2	3	4	5	6	7	8	9	67	#
151	8.97223	2	3	4	5	6	7	8	9	10	67	#
152	8.97223	3	4	5	6	7	8	9	10	11	67	#
153	8.97223	4	5	6	7	8	9	10	11	12	67	#
154	8.97223	5	6	7	8	9	10	11	12	13	67	#
155	8.97223	6	7	8	9	10	11	12	13	14	67	#
156	8.97223	7	8	9	10	11	12	13	14	15	67	#
157	8.97223	8	9	10	11	12	13	14	15	16	67	#
158	8.97223	9	10	11	12	13	14	15	16	17	67	#
159	8.97223	10	11	12	13	14	15	16	17	18	67	#
160	8.97223	11	12	13	14	15	16	17	18	19	67	#
161	8.97223	12	13	14	15	16	17	18	19	20	67	#
162	8.97223	13	14	15	16	17	18	19	20	21	67	#
163	8.97223	14	15	16	17	18	19	20	21	22	67	#
164	8.97223	15	16	17	18	19	20	21	22	23	67	#
165	8.97223	16	17	18	19	20	21	22	23	24	67	#
166	8.97223	17	18	19	20	21	22	23	24	25	67	#
167	8.97223	18	19	20	21	22	23	24	25	26	67	#
168	8.97223	19	20	21	22	23	24	25	26	27	67	#
169	8.97223	20	21	22	23	24	25	26	27	28	67	#
170	8.97223	21	22	23	24	25	26	27	28	29	67	#
171	8.97223	22	23	24	25	26	27	28	29	30	67	#
172	8.97223	23	24	25	26	27	28	29	30	31	67	#
173	8.97223	24	25	26	27	28	29	30	31	32	67	#
174	8.97223	25	26	27	28	29	30	31	32	33	67	#
175	8.97223	26	27	28	29	30	31	32	33	34	67	#
176	8.97223	27	28	29	30	31	32	33	34	35	67	#
177	8.97223	28	29	30	31	32	33	34	35	36	67	#
178	8.97223	29	30	31	32	33	34	35	36	37	67	#
179	8.97223	30	31	32	33	34	35	36	37	38	67	#
180	8.97223	31	32	33	34	35	36	37	38	39	67	#
181	8.97223	32	33	34	35	36	37	38	39	40	67	#
182	8.97223	33	34	35	36	37	38	39	40	41	67	#
183	8.97223	34	35	36	37	38	39	40	41	42	67	#
184	11.5728	0	1	2	3	4	5	6	7	68	#
185	11.5728	1	2	3	4	5	6	7	8	68	#
186	11.5728	2	3	4	5	6	7	8	9	68	#
187	11.5728	3	4	5	6	7	8	9	10	68	#
188	11.5728	4	5	6	7	8	9	10	11	68	#
189	11.5728	5	6	7	8	9	10	11	12	68	#
190	11.5728	6	7	8	9	10	11	12	13	68	#
191	11.5728	7	8	9	10	11	12	13	14	68	#
192	11.5728	8	9	10	11	12	13	14	15	68	#
193	11.5728	9	10	11	12	13	14	15	16	68	#
194	11.5728	10	11	12	13	14	15	16	17	68	#
195	11.5728	11	12	13	14	15	16	17	18	68	#
196	11.5728	12	13	14	15	16	17	18	19	68	#
197	11.5728	13	14	15	16	17	18	19	20	68	#
198	11.5728	14	15	16	17	18	19	20	21	68	#
199	11.5728	15	16	17	18	19	20	21	22	68	#
200	11.5728	16	17	18	19	20	21	22	23	68	#
201	11.5728	17	18	19	20	21	22	23	24	68	#
202	6.31244	18	19	20	21	22	23	24	25	68	#
203	6.31244	19	20	21	22	23	24	25	26	68	#
204	6.31244	20	21	22	23	24	25	26	27	68	#
205	6.31244	21	22	23	24	25	26	27	28	68	#
206	6.31244	22	23	24	25	26	27	28	29	68	#
207	6.31244	23	24	25	26	27	28	29	30	68	#
208	6.31244	24	25	26	27	28	29	30	31	68	#
209	6.31244	25	26	27	28	29	30	31	32	68	#
210	6.31244	26	27	28	29	30	31	32	33	68	#
211	6.31244	27	28	29	30	31	32	33	34	68	#
212	6.31244	28	29	30	31	32	33	34	35	68	#
