%% File generated by CATS v.2.1Wed Jun 22 10:37:56 2022

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 64; Bids: 1000; Distribution: scheduling; Runs: 1; Seed: 1656573093
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 64
bids 1052
dummy 25

0	4.30125	0	1	2	64	#
1	4.30125	1	2	3	64	#
2	4.30125	2	3	4	64	#
3	4.30125	3	4	5	64	#
4	4.30125	4	5	6	64	#
5	4.30125	5	6	7	64	#
6	1.11514	6	7	8	64	#
7	1.11514	7	8	9	64	#
8	1.11514	8	9	10	64	#
9	1.11514	9	10	11	64	#
10	1.11514	10	11	12	64	#
11	1.11514	11	12	13	64	#
12	1.11514	12	13	14	64	#
13	1.11514	13	14	15	64	#
14	1.11514	14	15	16	64	#
15	1.11514	15	16	17	64	#
16	1.11514	16	17	18	64	#
17	1.11514	17	18	19	64	#
18	1.11514	18	19	20	64	#
19	1.11514	19	20	21	64	#
20	1.11514	20	21	22	64	#
21	1.11514	21	22	23	64	#
22	1.11514	22	23	24	64	#
23	1.11514	23	24	25	64	#
24	1.11514	24	25	26	64	#
25	1.11514	25	26	27	64	#
26	1.03823	26	27	28	64	#
27	1.03823	27	28	29	64	#
28	0.528223	28	29	30	64	#
29	0.528223	29	30	31	64	#
30	0.528223	30	31	32	64	#
31	0.528223	31	32	33	64	#
32	0.528223	32	33	34	64	#
33	0.528223	33	34	35	64	#
34	0.528223	34	35	36	64	#
35	0.528223	35	36	37	64	#
36	0.528223	36	37	38	64	#
37	0.528223	37	38	39	64	#
38	0.528223	38	39	40	64	#
39	0.528223	39	40	41	64	#
40	0.528223	40	41	42	64	#
41	0.528223	41	42	43	64	#
42	0.528223	42	43	44	64	#
43	0.528223	43	44	45	64	#
44	0.528223	44	45	46	64	#
45	0.528223	45	46	47	64	#
46	0.528223	46	47	48	64	#
47	0.528223	47	48	49	64	#
48	0.528223	48	49	50	64	#
49	0.528223	49	50	51	64	#
50	0.528223	50	51	52	64	#
51	0.528223	51	52	53	64	#
52	0.528223	52	53	54	64	#
53	0.528223	53	54	55	64	#
54	0.528223	54	55	56	64	#
55	0.528223	55	56	57	64	#
56	0.485625	56	57	58	64	#
57	0.485625	57	58	59	64	#
58	0.485625	58	59	60	64	#
59	0.485625	59	60	61	64	#
60	0.485625	60	61	62	64	#
61	0.477916	61	62	63	64	#
62	5.34721	0	1	2	65	#
63	5.34721	1	2	3	65	#
64	5.34721	2	3	4	65	#
65	5.34721	3	4	5	65	#
66	5.34721	4	5	6	65	#
67	5.34721	5	6	7	65	#
68	5.34721	6	7	8	65	#
69	5.34721	7	8	9	65	#
70	5.34721	8	9	10	65	#
71	5.34721	9	10	11	65	#
72	5.34721	10	11	12	65	#
73	5.34721	11	12	13	65	#
74	5.34721	12	13	14	65	#
75	5.34721	13	14	15	65	#
76	5.34721	14	15	16	65	#
77	5.34721	15	16	17	65	#
78	5.34721	16	17	18	65	#
79	5.34721	17	18	19	65	#
80	5.34721	18	19	20	65	#
81	5.34721	19	20	21	65	#
82	5.34721	20	21	22	65	#
83	5.34721	21	22	23	65	#
84	5.34721	22	23	24	65	#
85	5.34721	23	24	25	65	#
86	5.34721	24	25	26	65	#
87	5.34721	25	26	27	65	#
