%% File generated by CATS v.2.1Wed Jun 22 10:37:56 2022

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 64; Bids: 1000; Distribution: scheduling; Runs: 1; Seed: 1656573125
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 64
bids 1044
dummy 22

0	10.9105	0	1	2	3	4	5	6	7	8	64	#
1	10.9105	1	2	3	4	5	6	7	8	9	64	#
2	10.9105	2	3	4	5	6	7	8	9	10	64	#
3	10.9105	3	4	5	6	7	8	9	10	11	64	#
4	10.9105	4	5	6	7	8	9	10	11	12	64	#
5	10.9105	5	6	7	8	9	10	11	12	13	64	#
6	10.9105	6	7	8	9	10	11	12	13	14	64	#
7	10.9105	7	8	9	10	11	12	13	14	15	64	#
8	10.9105	8	9	10	11	12	13	14	15	16	64	#
9	10.9105	9	10	11	12	13	14	15	16	17	64	#
10	10.9105	10	11	12	13	14	15	16	17	18	64	#
11	10.9105	11	12	13	14	15	16	17	18	19	64	#
12	10.9105	12	13	14	15	16	17	18	19	20	64	#
13	10.9105	13	14	15	16	17	18	19	20	21	64	#
14	10.9105	14	15	16	17	18	19	20	21	22	64	#
15	10.9105	15	16	17	18	19	20	21	22	23	64	#
16	4.92044	16	17	18	19	20	21	22	23	24	64	#
17	4.92044	17	18	19	20	21	22	23	24	25	64	#
18	4.92044	18	19	20	21	22	23	24	25	26	64	#
19	4.92044	19	20	21	22	23	24	25	26	27	64	#
20	4.92044	20	21	22	23	24	25	26	27	28	64	#
21	4.92044	21	22	23	24	25	26	27	28	29	64	#
22	4.92044	22	23	24	25	26	27	28	29	30	64	#
23	4.92044	23	24	25	26	27	28	29	30	31	64	#
24	4.92044	24	25	26	27	28	29	30	31	32	64	#
25	4.92044	25	26	27	28	29	30	31	32	33	64	#
26	4.92044	26	27	28	29	30	31	32	33	34	64	#
27	4.92044	27	28	29	30	31	32	33	34	35	64	#
28	4.92044	28	29	30	31	32	33	34	35	36	64	#
29	4.92044	29	30	31	32	33	34	35	36	37	64	#
30	4.92044	30	31	32	33	34	35	36	37	38	64	#
31	4.92044	31	32	33	34	35	36	37	38	39	64	#
32	4.92044	32	33	34	35	36	37	38	39	40	64	#
33	4.92044	33	34	35	36	37	38	39	40	41	64	#
34	4.92044	34	35	36	37	38	39	40	41	42	64	#
35	4.92044	35	36	37	38	39	40	41	42	43	64	#
36	4.92044	36	37	38	39	40	41	42	43	44	64	#
37	4.92044	37	38	39	40	41	42	43	44	45	64	#
38	4.92044	38	39	40	41	42	43	44	45	46	64	#
39	4.92044	39	40	41	42	43	44	45	46	47	64	#
40	4.92044	40	41	42	43	44	45	46	47	48	64	#
41	4.92044	41	42	43	44	45	46	47	48	49	64	#
42	4.92044	42	43	44	45	46	47	48	49	50	64	#
43	4.92044	43	44	45	46	47	48	49	50	51	64	#
44	4.11381	44	45	46	47	48	49	50	51	52	64	#
45	4.11381	45	46	47	48	49	50	51	52	53	64	#
46	4.11381	46	47	48	49	50	51	52	53	54	64	#
47	4.11381	47	48	49	50	51	52	53	54	55	64	#
48	4.11381	48	49	50	51	52	53	54	55	56	64	#
49	4.11381	49	50	51	52	53	54	55	56	57	64	#
50	4.11381	50	51	52	53	54	55	56	57	58	64	#
51	4.11381	51	52	53	54	55	56	57	58	59	64	#
52	4.11381	52	53	54	55	56	57	58	59	60	64	#
53	4.11381	53	54	55	56	57	58	59	60	61	64	#
54	3.98321	54	55	56	57	58	59	60	61	62	64	#
55	3.98321	55	56	57	58	59	60	61	62	63	64	#
56	5.40516	0	1	2	65	#
57	5.40516	1	2	3	65	#
58	5.40516	2	3	4	65	#
59	5.40516	3	4	5	65	#
60	5.40516	4	5	6	65	#
61	5.40516	5	6	7	65	#
62	5.40516	6	7	8	65	#
63	5.40516	7	8	9	65	#
64	5.40516	8	9	10	65	#
65	5.40516	9	10	11	65	#
66	5.40516	10	11	12	65	#
67	5.40516	11	12	13	65	#
68	5.40516	12	13	14	65	#
69	5.40516	13	14	15	65	#
70	5.40516	14	15	16	65	#
71	5.40516	15	16	17	65	#
72	5.40516	16	17	18	65	#
73	5.40516	17	18	19	65	#
74	5.40516	18	19	20	65	#
75	5.40516	19	20	21	65	#
76	5.40516	20	21	22	65	#
77	5.40516	21	22	23	65	#
78	5.40516	22	23	24	65	#
79	5.40516	23	24	25	65	#
80	5.40516	24	25	26	65	#
81	5.40516	25	26	27	65	#
82	5.40516	26	27	28	65	#
83	3.98275	27	28	29	65	#
84	3.98275	28	29	30	65	#
85	3.98275	29	30	31	65	#
86	3.98275	30	31	32	65	#
87	3.98275	31	32	33	65	#
88	3.98275	32	33	34	65	#
89	3.98275	33	34	35	65	#
90	3.98275	34	35	36	65	#
91	3.98275	35	36	37	65	#
92	3.98275	36	37	38	65	#
93	2.21617	0	1	2	66	#
94	2.21617	1	2	3	66	#
95	2.21617	2	3	4	66	#
96	2.21617	3	4	5	66	#
97	2.21617	4	5	6	66	#
98	2.21617	5	6	7	66	#
99	2.21617	6	7	8	66	#
100	2.21617	7	8	9	66	#
101	2.21617	8	9	10	66	#
102	2.21617	9	10	11	66	#
103	2.21617	10	11	12	66	#
104	2.21617	11	12	13	66	#
105	2.21617	12	13	14	66	#
106	2.21617	13	14	15	66	#
107	2.21617	14	15	16	66	#
108	2.21617	15	16	17	66	#
109	2.21617	16	17	18	66	#
110	2.21617	17	18	19	66	#
111	2.21617	18	19	20	66	#
112	2.21617	19	20	21	66	#
113	2.21617	20	21	22	66	#
114	2.21617	21	22	23	66	#
115	2.21617	22	23	24	66	#
116	2.21617	23	24	25	66	#
117	2.21617	24	25	26	66	#
118	2.21617	25	26	27	66	#
119	2.21617	26	27	28	66	#
120	2.21617	27	28	29	66	#
121	2.21617	28	29	30	66	#
122	2.21617	29	30	31	66	#
123	2.21617	30	31	32	66	#
124	2.21617	31	32	33	66	#
125	2.21617	32	33	34	66	#
126	2.21617	33	34	35	66	#
127	2.21617	34	35	36	66	#
128	2.21617	35	36	37	66	#
129	2.21617	36	37	38	66	#
130	2.21617	37	38	39	66	#
131	2.21617	38	39	40	66	#
132	2.21617	39	40	41	66	#
133	2.21617	40	41	42	66	#
134	2.21617	41	42	43	66	#
135	2.02756	42	43	44	66	#
136	2.02756	43	44	45	66	#
137	2.02756	44	45	46	66	#
138	2.02756	45	46	47	66	#
139	1.7017	46	47	48	66	#
140	1.7017	47	48	49	66	#
141	1.7017	48	49	50	66	#
142	1.7017	49	50	51	66	#
143	1.7017	50	51	52	66	#
144	1.7017	51	52	53	66	#
145	1.7017	52	53	54	66	#
146	1.7017	53	54	55	66	#
147	1.7017	54	55	56	66	#
148	1.23417	0	67	#
149	1.23417	1	67	#
150	1.23417	2	67	#
151	1.23417	3	67	#
152	1.23417	4	67	#
153	1.23417	5	67	#
154	1.23417	6	67	#
155	1.23417	7	67	#
156	1.23417	8	67	#
157	1.23417	9	67	#
158	1.23417	10	67	#
159	1.23417	11	67	#
160	1.23417	12	67	#
161	1.23417	13	67	#
162	1.23417	14	67	#
163	1.23417	15	67	#
164	1.23417	16	67	#
165	1.23417	17	67	#
166	1.23417	18	67	#
167	1.23417	19	67	#
